sample_1656,0.925
sample_1548,0.902
sample_769,0.902
sample_1881,0.925
sample_1807,0.925
sample_145,0.925
sample_1212,0.925
sample_944,0.902
sample_829,0.93
sample_616,0.925
sample_1690,0.983
sample_114,0.983
sample_185,0.925
sample_1141,0.947
sample_1460,0.902
sample_1835,0.925
sample_1539,0.902
sample_598,0.902
sample_1800,0.983
sample_394,0.902
sample_1146,0.902
sample_149,0.983
sample_1750,0.902
sample_1977,0.93
sample_1830,0.983
sample_818,0.93
sample_881,0.902
sample_77,0.925
sample_1240,0.971
sample_309,0.902
sample_90,0.971
sample_1447,0.902
sample_1584,0.902
sample_23,0.902
sample_1188,0.925
sample_1461,0.902
sample_1691,0.925
sample_316,0.902
sample_299,0.902
sample_459,0.902
sample_462,0.902
sample_1730,0.971
sample_689,0.983
sample_1943,0.93
sample_1043,0.902
sample_919,0.902
sample_1104,0.902
sample_348,0.902
sample_123,0.902
sample_1645,0.925
sample_1522,0.902
sample_1874,0.925
sample_295,0.902
sample_954,0.902
sample_1529,0.902
sample_722,0.93
sample_1703,0.925
sample_1524,0.902
sample_125,0.902
sample_1922,0.93
sample_1186,0.925
sample_938,0.902
sample_1744,0.925
sample_936,0.902
sample_1973,0.93
sample_157,0.925
sample_1003,0.902
sample_1407,0.902
sample_1057,0.902
sample_1783,0.925
sample_48,0.902
sample_263,0.973
sample_678,0.925
sample_882,0.902
sample_1688,0.925
sample_1361,0.93
sample_1802,0.925
sample_250,0.93
sample_323,0.902
sample_1514,0.902
sample_1545,0.902
sample_830,0.93
sample_1757,0.971
sample_917,0.902
sample_1728,0.947
sample_352,0.902
sample_1229,0.902
sample_619,0.925
sample_1138,0.947
sample_687,0.925
sample_966,0.902
sample_537,0.902
sample_867,0.902
sample_928,0.902
sample_520,0.902
sample_1338,0.902
sample_988,0.902
sample_899,0.902
sample_15,0.902
sample_1412,0.902
sample_1915,0.983
sample_1885,0.971
sample_1893,0.925
sample_688,0.925
sample_1664,0.983
sample_1667,0.983
sample_1516,0.902
sample_437,0.902
sample_203,0.925
sample_1389,0.93
sample_761,0.902
sample_1373,0.93
sample_558,0.947
sample_1710,0.902
sample_153,0.936
sample_934,0.902
sample_54,0.902
sample_1227,0.925
sample_53,0.902
sample_1110,0.902
sample_49,0.902
sample_474,0.902
sample_1716,0.902
sample_1169,0.971
sample_1925,0.93
sample_667,0.925
sample_176,0.925
sample_1908,0.925
sample_160,0.947
sample_35,0.902
sample_1403,0.902
sample_1806,0.983
sample_241,0.93
sample_1059,0.902
sample_746,0.902
sample_513,0.902
sample_1088,0.902
sample_1370,0.93
sample_523,0.902
sample_319,0.902
sample_1923,0.973
sample_1296,0.93
sample_1152,0.902
sample_982,0.902
sample_304,0.902
sample_502,0.902
sample_1951,0.93
sample_386,0.902
sample_362,0.902
sample_522,0.902
